status,nome_rsssf,selecao,gols_rsssf,periodo_rsssf,nome_banco,gols_banco,periodo_banco,diferenca,criterio_match,observacao
ok,Maximilian MORLOCK,Alemanha,6,1954,Morlock,6,1954,0,selecao_e_gols,
ok,Helmut HALLER,Alemanha,6,1962-1970,Haller,6,1966,0,nome,
ok,Roberto RIVELINO,Brasil,6,1970-1978,Bebeto,6,1994-1998,0,selecao_e_gols,
ok,Robert Pieter RENSENBRINK,Países Baixos,6,1974-1978,Rensenbrink,6,1974-1978,0,selecao_e_gols,
ok,Mario Alberto KEMPES,Argentina,6,1974-1982,Kempes,6,1978,0,selecao_e_gols,
ok,Zbigniew Kazimierz BONIEK,Polônia,6,1978-1986,Boniek,6,1978-1982,0,selecao_e_gols,
ok,Salvatore SCHILLACI,Itália,6,1990,Schillaci,6,1990,0,selecao_e_gols,
ok,Oleg SALENKO,Rússia,6,1994,Salenko,6,1994,0,selecao_e_gols,
ok,Christo STOICHKOV,Bulgária,6,1994,Stoichkov,6,1994,0,selecao_e_gols,
ok,Lothar Herbert MATTHÄUS,Alemanha,6,1982-1998,Matthäus,6,1986-1994,0,nome,
ok,BEBETO José Roberto Gama de Oliveira,Brasil,6,1990-1998,Bebeto,6,1994-1998,0,selecao_e_gols,
ok,Dennis BERGKAMP,Países Baixos,6,1994-1998,Bergkamp,6,1994-1998,0,selecao_e_gols,
ok,Davor ŠUKER,Croácia,6,1998-2002,Šuker,6,1998,0,nome,
ok,Thierry HENRY,França,6,2002-2006,Henry,6,1998-2006,0,selecao_e_gols,
ok,Diego Martín FORLÁN Corazo,Uruguai,6,2002-2010,Forlán,6,2002-2010,0,selecao_e_gols,
ok,ASAMOAH Gyan,Gana,6,2006-2014,Asamoah Gyan,6,2006-2014,0,selecao_e_gols,
ok,Arjen ROBBEN,Países Baixos,6,2006-2014,Robben,6,2006-2014,0,nome,
ok,Robin VAN PERSIE,Países Baixos,6,2006-2014,van Persie,6,2006-2014,0,nome,
ok,Wesley SNEIJDER,Países Baixos,6,2010-2014,Sneijder,6,2010-2014,0,selecao_e_gols,
ok,James RODRIGUEZ,Colômbia,6,2014,Rodríguez,6,2014,0,selecao_e_gols,
ok,Ivan PERIŠIĆ,Croácia,6,2014-2022,Perišić,6,2014-2022,0,selecao_e_gols,
ok,Enner VALENCIA,Equador,6,2014-2022,Enner Valencia,6,2014-2022,0,selecao_e_gols,
ok,José Pedro CEA,Uruguai,5,1930,Cea,5,1930,0,selecao_e_gols,
ok,Silvio PIOLA,Itália,5,1938,Piola,5,1938,0,selecao_e_gols,
ok,Gyula ZSENGELLÉR,Hungria,5,1938,Zsengellér,5,1938,0,selecao_e_gols,
ok,Juan Alberto SCHIAFFINO,Uruguai,5,1950-1954,Schiaffino,5,1950-1954,0,selecao_e_gols,
ok,Peter Jones McPARLAND,Irlanda do Norte,5,1958,McParland,5,1958,0,selecao_e_gols,
ok,Valentin Kozmich IVANOV,União Soviética,5,1958-1962,Valentin Ivanov,5,1958-1962,0,selecao_e_gols,
ok,GARRINCHA Manuel Francisco dos Santos,Brasil,5,1958-1966,Garrincha,5,1962-1966,0,nome,
ok,Geoffrey Charles HURST,Inglaterra,5,1966-1970,Hurst,5,1966-1970,0,selecao_e_gols,
ok,Franz BECKENBAUER,Alemanha,5,1966-1974,Beckenbauer,5,1966-1970,0,nome,
ok,Johannes Jacobus NEESKENS,Países Baixos,5,1974-1978,Neeskens,5,1974,0,selecao_e_gols,
ok,Johann KRANKL,Áustria,5,1978-1982,Krankl,5,1978-1982,0,selecao_e_gols,
ok,ZICO Arthur Antunes Coimbra,Brasil,5,1978-1986,Zico,5,1978-1982,0,nome,
ok,Michel PLATINI,França,5,1978-1986,Platini,5,1978-1986,0,selecao_e_gols,
ok,Alessandro ALTOBELLI,Itália,5,1982-1986,Altobelli,5,1982-1986,0,selecao_e_gols,
ok,Emilio BUTRAGUENO Santos,Espanha,5,1986-1990,Butragueño,5,1986,0,nome,
ok,Tomáš SKUHRAVÝ,Tchecoslováquia,5,1990,Skuhravý,5,1990,0,selecao_e_gols,
