temporada,rodada,partida_id,data,mandante,visitante,placar,o_que_falta,tecnico_mandante_atual,tecnico_visitante_atual,formacao_mandante_atual,formacao_visitante_atual,source_url_transfermarkt,campos_disponiveis_transfermarkt,transfermarkt_tecnico_mandante,transfermarkt_tecnico_visitante,transfermarkt_formacao_mandante,transfermarkt_formacao_visitante,onde_procurar,observacao
2011,34,3804,2011-11-13,Vasco,Botafogo-RJ,2-0,"formacao_mandante, formacao_visitante",Cristóvão Borges,Caio Júnior,,,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164795,"tecnico_mandante, tecnico_visitante",Cristóvão Borges,Caio Júnior,,,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2012,38,4223,2012-12-02,Coritiba,Figueirense,3-0,"tecnico_mandante, tecnico_visitante",,,4-2-3-1,4-4-2 duplo 6,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206691,"formacao_mandante, formacao_visitante",,,4-2-3-1,4-4-2 duplo 6,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2013,28,4498,2013-10-12,Vitoria,Coritiba,2-1,"formacao_mandante, formacao_visitante",Ney Franco,Péricles Chamusca,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,29,4508,2013-10-16,Santos,Internacional,0-0,"tecnico_mandante, tecnico_visitante",,,4-3-3 defensivo,4-5-1,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,29,4509,2013-10-16,Criciuma,Portuguesa,1-3,"tecnico_mandante, tecnico_visitante",,,4-1-3-2,4-4-2 duplo 6,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,29,4516,2013-10-17,Vitoria,Botafogo-RJ,1-0,"formacao_mandante, formacao_visitante",Ney Franco,Oswaldo de Oliveira,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,30,4521,2013-10-20,Bahia,Sao Paulo,0-1,"formacao_mandante, formacao_visitante",Cristóvão Borges,Muricy Ramalho,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,30,4522,2013-10-20,Goias,Athletico-PR,3-0,"formacao_mandante, formacao_visitante",Enderson Moreira,Vagner Mancini,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,30,4524,2013-10-20,Botafogo-RJ,Vasco,2-2,"formacao_mandante, formacao_visitante",Oswaldo de Oliveira,Dorival Júnior,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,30,4525,2013-10-20,Coritiba,Cruzeiro,2-1,"formacao_mandante, formacao_visitante",Péricles Chamusca,Marcelo Oliveira,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
